"ClassName","RegistryName","Package","SubPath","Category"
"EntityAAShell","entity_aa_shell","com.hbm.entity.projectile","projectile","MISC"
"EntityAcidBomb","entity_acid_bomb","com.hbm.entity.projectile","projectile","MISC"
"EntityArtilleryRocket","entity_artillery_rocket","com.hbm.entity.projectile","projectile","MISC"
"EntityArtilleryShell","entity_artillery_shell","com.hbm.entity.projectile","projectile","MISC"
"EntityBeamVortex","entity_vortex_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityBombletZeta","entity_zeta","com.hbm.entity.projectile","projectile","MISC"
"EntityBoxcar","entity_boxcar","com.hbm.entity.projectile","projectile","MISC"
"EntityBuilding","entity_building","com.hbm.entity.projectile","projectile","MISC"
"EntityBullet","entity_bullet","com.hbm.entity.projectile","projectile","MISC"
"EntityBulletBase","entity_bullet_mk2","com.hbm.entity.projectile","projectile","MISC"
"EntityBulletBaseMK4","entity_bullet_mk4","com.hbm.entity.projectile","projectile","MISC"
"EntityBulletBaseMK4CL","entity_bullet_mk4_cl","com.hbm.entity.projectile","projectile","MISC"
"EntityBulletBaseNT","entity_bullet_mk3","com.hbm.entity.projectile","projectile","MISC"
"EntityBulletBeamBase","entity_beam_mk4","com.hbm.entity.projectile","projectile","MISC"
"EntityBurningFOEQ","entity_burning_foeq","com.hbm.entity.projectile","projectile","MISC"
"EntityChemical","entity_chemthrower_splash","com.hbm.entity.projectile","projectile","MISC"
"EntityChopperMine","entity_chopper_mine","com.hbm.entity.projectile","projectile","MISC"
"EntityCog","entity_cog","com.hbm.entity.projectile","projectile","MISC"
"EntityCoin","entity_coin","com.hbm.entity.projectile","projectile","MISC"
"EntityCombineBall","entity_combine_ball","com.hbm.entity.projectile","projectile","MISC"
"EntityDischarge","entity_discharge","com.hbm.entity.projectile","projectile","MISC"
"EntityDuchessGambit","entity_duchessgambit","com.hbm.entity.projectile","projectile","MISC"
"EntityExplosiveBeam","entity_explosive_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityFallingNuke","entity_falling_bomb","com.hbm.entity.projectile","projectile","MISC"
"EntityFire","entity_fire","com.hbm.entity.projectile","projectile","MISC"
"EntityLaser","entity_laser","com.hbm.entity.projectile","projectile","MISC"
"EntityLaserBeam","entity_laser_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityLN2","entity_ln2","com.hbm.entity.projectile","projectile","MISC"
"EntityMeteor","entity_meteor","com.hbm.entity.projectile","projectile","MISC"
"EntityMinerBeam","entity_miner_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityMiniMIRV","entity_mini_mirv","com.hbm.entity.projectile","projectile","MISC"
"EntityMiniNuke","entity_mini_nuke","com.hbm.entity.projectile","projectile","MISC"
"EntityModBeam","entity_mod_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityPlasmaBeam","entity_plasma_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityRailgunBlast","entity_railgun_pellet","com.hbm.entity.projectile","projectile","MISC"
"EntityRainbow","entity_rainbow","com.hbm.entity.projectile","projectile","MISC"
"EntityRBMKDebris","entity_rbmk_debris","com.hbm.entity.projectile","projectile","MISC"
"EntityRocket","entity_rocket","com.hbm.entity.projectile","projectile","MISC"
"EntityRubble","entity_rubble","com.hbm.entity.projectile","projectile","MISC"
"EntitySawblade","entity_sawblade","com.hbm.entity.projectile","projectile","MISC"
"EntitySchrab","entity_schrab","com.hbm.entity.projectile","projectile","MISC"
"EntityShrapnel","entity_shrapnel","com.hbm.entity.projectile","projectile","MISC"
"EntitySparkBeam","entity_spark_beam","com.hbm.entity.projectile","projectile","MISC"
"EntityTom","entity_tom_the_moonstone","com.hbm.entity.projectile","projectile","MISC"
"EntityTorpedo","entity_torpedo","com.hbm.entity.projectile","projectile","MISC"
"EntityZirnoxDebris","entity_zirnox_debris","com.hbm.entity.projectile","projectile","MISC"
